code,name,parent_code,level,aliases
ROOT,ICD-10-CM,,0,
CHAPTER_1,Certain infectious and parasitic diseases (A00-B99),ROOT,1,
SECTION_A00-A09,Intestinal infectious diseases (A00-A09),CHAPTER_1,2,
A00,Cholera,SECTION_A00-A09,3,
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",A00,4,Classical cholera
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",A00,4,Cholera eltor
A00.9,"Cholera, unspecified",A00,4,
A01,Typhoid and paratyphoid fevers,SECTION_A00-A09,3,
A01.0,Typhoid fever,A01,4,Infection due to Salmonella typhi
A01.00,"Typhoid fever, unspecified",A01.0,5,
A01.01,Typhoid meningitis,A01.0,5,
A01.02,Typhoid fever with heart involvement,A01.0,5,Typhoid endocarditis|Typhoid myocarditis
A01.03,Typhoid pneumonia,A01.0,5,
A01.04,Typhoid arthritis,A01.0,5,
A01.05,Typhoid osteomyelitis,A01.0,5,
A01.09,Typhoid fever with other complications,A01.0,5,
A01.1,Paratyphoid fever A,A01,4,
A01.2,Paratyphoid fever B,A01,4,
A01.3,Paratyphoid fever C,A01,4,
A01.4,"Paratyphoid fever, unspecified",A01,4,Infection due to Salmonella paratyphi NOS
A02,Other salmonella infections,SECTION_A00-A09,3,
A02.0,Salmonella enteritis,A02,4,Salmonellosis
A02.1,Salmonella sepsis,A02,4,
A02.2,Localized salmonella infections,A02,4,
A02.20,"Localized salmonella infection, unspecified",A02.2,5,
A02.21,Salmonella meningitis,A02.2,5,
A02.22,Salmonella pneumonia,A02.2,5,
A02.23,Salmonella arthritis,A02.2,5,
A02.24,Salmonella osteomyelitis,A02.2,5,
A02.25,Salmonella pyelonephritis,A02.2,5,Salmonella tubulo-interstitial nephropathy
A02.29,Salmonella with other localized infection,A02.2,5,
A02.8,Other specified salmonella infections,A02,4,
A02.9,"Salmonella infection, unspecified",A02,4,
A03,Shigellosis,SECTION_A00-A09,3,
A03.0,Shigellosis due to Shigella dysenteriae,A03,4,Group A shigellosis [Shiga-Kruse dysentery]
A03.1,Shigellosis due to Shigella flexneri,A03,4,Group B shigellosis
A03.2,Shigellosis due to Shigella boydii,A03,4,Group C shigellosis
A03.3,Shigellosis due to Shigella sonnei,A03,4,Group D shigellosis
A03.8,Other shigellosis,A03,4,
A03.9,"Shigellosis, unspecified",A03,4,Bacillary dysentery NOS
A04,Other bacterial intestinal infections,SECTION_A00-A09,3,
A04.0,Enteropathogenic Escherichia coli infection,A04,4,
A04.1,Enterotoxigenic Escherichia coli infection,A04,4,
A04.2,Enteroinvasive Escherichia coli infection,A04,4,
A04.3,Enterohemorrhagic Escherichia coli infection,A04,4,
A04.4,Other intestinal Escherichia coli infections,A04,4,Escherichia coli enteritis NOS
A04.5,Campylobacter enteritis,A04,4,
A04.6,Enteritis due to Yersinia enterocolitica,A04,4,
A04.7,Enterocolitis due to Clostridium difficile,A04,4,Clostridioides difficile colitis|Foodborne intoxication by Clostridium difficile|Pseudomembraneous colitis
A04.71,"Enterocolitis due to Clostridium difficile, recurrent",A04.7,5,
A04.72,"Enterocolitis due to Clostridium difficile, not specified as recurrent",A04.7,5,
A04.8,Other specified bacterial intestinal infections,A04,4,
A04.9,"Bacterial intestinal infection, unspecified",A04,4,Bacterial enteritis NOS
A05,"Other bacterial foodborne intoxications, not elsewhere classified",SECTION_A00-A09,3,
A05.0,Foodborne staphylococcal intoxication,A05,4,
A05.1,Botulism food poisoning,A05,4,Botulism NOS|Classical foodborne intoxication due to Clostridium botulinum
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,A05,4,Enteritis necroticans|Pig-bel
A05.3,Foodborne Vibrio parahaemolyticus intoxication,A05,4,
A05.4,Foodborne Bacillus cereus intoxication,A05,4,
A05.5,Foodborne Vibrio vulnificus intoxication,A05,4,
A05.8,Other specified bacterial foodborne intoxications,A05,4,
A05.9,"Bacterial foodborne intoxication, unspecified",A05,4,
A06,Amebiasis,SECTION_A00-A09,3,
A06.0,Acute amebic dysentery,A06,4,Acute amebiasis|Intestinal amebiasis NOS
A06.1,Chronic intestinal amebiasis,A06,4,
A06.2,Amebic nondysenteric colitis,A06,4,
A06.3,Ameboma of intestine,A06,4,Ameboma NOS
A06.4,Amebic liver abscess,A06,4,Hepatic amebiasis
A06.5,Amebic lung abscess,A06,4,Amebic abscess of lung (and liver)
A06.6,Amebic brain abscess,A06,4,Amebic abscess of brain (and liver) (and lung)
A06.7,Cutaneous amebiasis,A06,4,
A06.8,Amebic infection of other sites,A06,4,
A06.81,Amebic cystitis,A06.8,5,
A06.82,Other amebic genitourinary infections,A06.8,5,Amebic balanitis|Amebic vesiculitis|Amebic vulvovaginitis
A06.89,Other amebic infections,A06.8,5,Amebic appendicitis|Amebic splenic abscess
A06.9,"Amebiasis, unspecified",A06,4,
A07,Other protozoal intestinal diseases,SECTION_A00-A09,3,
A07.0,Balantidiasis,A07,4,Balantidial dysentery
A07.1,Giardiasis [lambliasis],A07,4,
A07.2,Cryptosporidiosis,A07,4,
A07.3,Isosporiasis,A07,4,Infection due to Isospora belli and Isospora hominis|Intestinal coccidiosis|Isosporosis
A07.4,Cyclosporiasis,A07,4,
A07.8,Other specified protozoal intestinal diseases,A07,4,Intestinal microsporidiosis|Intestinal trichomoniasis|Sarcocystosis|Sarcosporidiosis
A07.9,"Protozoal intestinal disease, unspecified",A07,4,Flagellate diarrhea|Protozoal colitis|Protozoal diarrhea|Protozoal dysentery
A08,Viral and other specified intestinal infections,SECTION_A00-A09,3,
A08.0,Rotaviral enteritis,A08,4,
A08.1,Acute gastroenteropathy due to Norwalk agent and other small round viruses,A08,4,
A08.11,Acute gastroenteropathy due to Norwalk agent,A08.1,5,Acute gastroenteropathy due to Norovirus|Acute gastroenteropathy due to Norwalk-like agent
A08.19,Acute gastroenteropathy due to other small round viruses,A08.1,5,Acute gastroenteropathy due to small round virus [SRV] NOS
A08.2,Adenoviral enteritis,A08,4,
A08.3,Other viral enteritis,A08,4,
A08.31,Calicivirus enteritis,A08.3,5,
A08.32,Astrovirus enteritis,A08.3,5,
A08.39,Other viral enteritis,A08.3,5,Coxsackie virus enteritis|Echovirus enteritis|Enterovirus enteritis NEC|Torovirus enteritis
A08.4,"Viral intestinal infection, unspecified",A08,4,Viral enteritis NOS|Viral gastroenteritis NOS|Viral gastroenteropathy NOS|viêm dạ dày ruột do virus|viêm dạ dày ruột virus|viêm ruột do virus
A08.8,Other specified intestinal infections,A08,4,
A09,"Infectious gastroenteritis and colitis, unspecified",SECTION_A00-A09,3,Infectious colitis NOS|Infectious enteritis NOS|Infectious gastroenteritis NOS
SECTION_A15-A19,Tuberculosis (A15-A19),CHAPTER_1,2,
A15,Respiratory tuberculosis,SECTION_A15-A19,3,
A15.0,Tuberculosis of lung,A15,4,Tuberculous bronchiectasis|Tuberculous fibrosis of lung|Tuberculous pneumonia|Tuberculous pneumothorax
A15.4,Tuberculosis of intrathoracic lymph nodes,A15,4,Tuberculosis of hilar lymph nodes|Tuberculosis of mediastinal lymph nodes|Tuberculosis of tracheobronchial lymph nodes
A15.5,"Tuberculosis of larynx, trachea and bronchus",A15,4,Tuberculosis of bronchus|Tuberculosis of glottis|Tuberculosis of larynx|Tuberculosis of trachea
A15.6,Tuberculous pleurisy,A15,4,Tuberculosis of pleura Tuberculous empyema
A15.7,Primary respiratory tuberculosis,A15,4,
A15.8,Other respiratory tuberculosis,A15,4,Mediastinal tuberculosis|Nasopharyngeal tuberculosis|Tuberculosis of nose|Tuberculosis of sinus [any nasal]
A15.9,Respiratory tuberculosis unspecified,A15,4,
A17,Tuberculosis of nervous system,SECTION_A15-A19,3,
A17.0,Tuberculous meningitis,A17,4,Tuberculosis of meninges (cerebral)(spinal)|Tuberculous leptomeningitis
A17.1,Meningeal tuberculoma,A17,4,Tuberculoma of meninges (cerebral) (spinal)
A17.8,Other tuberculosis of nervous system,A17,4,
A17.81,Tuberculoma of brain and spinal cord,A17.8,5,Tuberculous abscess of brain and spinal cord
A17.82,Tuberculous meningoencephalitis,A17.8,5,Tuberculous myelitis
A17.83,Tuberculous neuritis,A17.8,5,Tuberculous mononeuropathy
A17.89,Other tuberculosis of nervous system,A17.8,5,Tuberculous polyneuropathy
A17.9,"Tuberculosis of nervous system, unspecified",A17,4,
A18,Tuberculosis of other organs,SECTION_A15-A19,3,
A18.0,Tuberculosis of bones and joints,A18,4,
A18.01,Tuberculosis of spine,A18.0,5,Pott's disease or curvature of spine|Tuberculous arthritis|Tuberculous osteomyelitis of spine|Tuberculous spondylitis
A18.02,Tuberculous arthritis of other joints,A18.0,5,Tuberculosis of hip (joint)|Tuberculosis of knee (joint)
A18.03,Tuberculosis of other bones,A18.0,5,Tuberculous mastoiditis|Tuberculous osteomyelitis
A18.09,Other musculoskeletal tuberculosis,A18.0,5,Tuberculous myositis|Tuberculous synovitis|Tuberculous tenosynovitis
A18.1,Tuberculosis of genitourinary system,A18,4,
A18.10,"Tuberculosis of genitourinary system, unspecified",A18.1,5,
A18.11,Tuberculosis of kidney and ureter,A18.1,5,
A18.12,Tuberculosis of bladder,A18.1,5,
A18.13,Tuberculosis of other urinary organs,A18.1,5,Tuberculous urethritis
A18.14,Tuberculosis of prostate,A18.1,5,
A18.15,Tuberculosis of other male genital organs,A18.1,5,
A18.16,Tuberculosis of cervix,A18.1,5,
A18.17,Tuberculous female pelvic inflammatory disease,A18.1,5,Tuberculous endometritis|Tuberculous oophoritis and salpingitis
A18.18,Tuberculosis of other female genital organs,A18.1,5,Tuberculous ulceration of vulva
A18.2,Tuberculous peripheral lymphadenopathy,A18,4,Tuberculous adenitis
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",A18,4,
A18.31,Tuberculous peritonitis,A18.3,5,Tuberculous ascites
A18.32,Tuberculous enteritis,A18.3,5,Tuberculosis of anus and rectum|Tuberculosis of intestine (large) (small)
A18.39,Retroperitoneal tuberculosis,A18.3,5,Tuberculosis of mesenteric glands|Tuberculosis of retroperitoneal (lymph glands)
A18.4,Tuberculosis of skin and subcutaneous tissue,A18,4,"Erythema induratum, tuberculous|Lupus exedens|Lupus vulgaris NOS|Lupus vulgaris of eyelid|Scrofuloderma|Tuberculosis of external ear"
A18.5,Tuberculosis of eye,A18,4,
A18.50,"Tuberculosis of eye, unspecified",A18.5,5,
A18.51,Tuberculous episcleritis,A18.5,5,
A18.52,Tuberculous keratitis,A18.5,5,Tuberculous interstitial keratitis|Tuberculous keratoconjunctivitis (interstitial) (phlyctenular)
A18.53,Tuberculous chorioretinitis,A18.5,5,
A18.54,Tuberculous iridocyclitis,A18.5,5,
A18.59,Other tuberculosis of eye,A18.5,5,Tuberculous conjunctivitis
A18.6,Tuberculosis of (inner) (middle) ear,A18,4,Tuberculous otitis media
A18.7,Tuberculosis of adrenal glands,A18,4,Tuberculous Addison's disease
A18.8,Tuberculosis of other specified organs,A18,4,
A18.81,Tuberculosis of thyroid gland,A18.8,5,
A18.82,Tuberculosis of other endocrine glands,A18.8,5,Tuberculosis of pituitary gland|Tuberculosis of thymus gland
A18.83,"Tuberculosis of digestive tract organs, not elsewhere classified",A18.8,5,
A18.84,Tuberculosis of heart,A18.8,5,Tuberculous cardiomyopathy|Tuberculous endocarditis|Tuberculous myocarditis|Tuberculous pericarditis
A18.85,Tuberculosis of spleen,A18.8,5,
A18.89,Tuberculosis of other sites,A18.8,5,Tuberculosis of muscle|Tuberculous cerebral arteritis
A19,Miliary tuberculosis,SECTION_A15-A19,3,
A19.0,Acute miliary tuberculosis of a single specified site,A19,4,
A19.1,Acute miliary tuberculosis of multiple sites,A19,4,
A19.2,"Acute miliary tuberculosis, unspecified",A19,4,
A19.8,Other miliary tuberculosis,A19,4,
A19.9,"Miliary tuberculosis, unspecified",A19,4,
SECTION_A20-A28,Certain zoonotic bacterial diseases (A20-A28),CHAPTER_1,2,
A20,Plague,SECTION_A20-A28,3,
A20.0,Bubonic plague,A20,4,
A20.1,Cellulocutaneous plague,A20,4,
A20.2,Pneumonic plague,A20,4,
A20.3,Plague meningitis,A20,4,
A20.7,Septicemic plague,A20,4,
A20.8,Other forms of plague,A20,4,Abortive plague|Asymptomatic plague|Pestis minor
A20.9,"Plague, unspecified",A20,4,
A21,Tularemia,SECTION_A20-A28,3,
A21.0,Ulceroglandular tularemia,A21,4,
A21.1,Oculoglandular tularemia,A21,4,Ophthalmic tularemia
A21.2,Pulmonary tularemia,A21,4,
A21.3,Gastrointestinal tularemia,A21,4,Abdominal tularemia
A21.7,Generalized tularemia,A21,4,
A21.8,Other forms of tularemia,A21,4,
A21.9,"Tularemia, unspecified",A21,4,
A22,Anthrax,SECTION_A20-A28,3,
A22.0,Cutaneous anthrax,A22,4,Malignant carbuncle|Malignant pustule
A22.1,Pulmonary anthrax,A22,4,Inhalation anthrax|Ragpicker's disease|Woolsorter's disease
A22.2,Gastrointestinal anthrax,A22,4,
A22.7,Anthrax sepsis,A22,4,
A22.8,Other forms of anthrax,A22,4,Anthrax meningitis
A22.9,"Anthrax, unspecified",A22,4,
A23,Brucellosis,SECTION_A20-A28,3,
A23.0,Brucellosis due to Brucella melitensis,A23,4,
A23.1,Brucellosis due to Brucella abortus,A23,4,
A23.2,Brucellosis due to Brucella suis,A23,4,
A23.3,Brucellosis due to Brucella canis,A23,4,
A23.8,Other brucellosis,A23,4,
A23.9,"Brucellosis, unspecified",A23,4,
A24,Glanders and melioidosis,SECTION_A20-A28,3,
A24.0,Glanders,A24,4,Infection due to Pseudomonas mallei|Malleus
A24.1,Acute and fulminating melioidosis,A24,4,Melioidosis pneumonia|Melioidosis sepsis
A24.2,Subacute and chronic melioidosis,A24,4,
A24.3,Other melioidosis,A24,4,
A24.9,"Melioidosis, unspecified",A24,4,Infection due to Pseudomonas pseudomallei NOS|Whitmore's disease
A25,Rat-bite fevers,SECTION_A20-A28,3,
A25.0,Spirillosis,A25,4,Sodoku
A25.1,Streptobacillosis,A25,4,Epidemic arthritic erythema|Haverhill fever|Streptobacillary rat-bite fever
A25.9,"Rat-bite fever, unspecified",A25,4,
A26,Erysipeloid,SECTION_A20-A28,3,
A26.0,Cutaneous erysipeloid,A26,4,Erythema migrans
A26.7,Erysipelothrix sepsis,A26,4,
A26.8,Other forms of erysipeloid,A26,4,
A26.9,"Erysipeloid, unspecified",A26,4,
A27,Leptospirosis,SECTION_A20-A28,3,
A27.0,Leptospirosis icterohemorrhagica,A27,4,Leptospiral or spirochetal jaundice (hemorrhagic)|Weil's disease
A27.8,Other forms of leptospirosis,A27,4,
A27.81,Aseptic meningitis in leptospirosis,A27.8,5,
A27.89,Other forms of leptospirosis,A27.8,5,
A27.9,"Leptospirosis, unspecified",A27,4,
A28,"Other zoonotic bacterial diseases, not elsewhere classified",SECTION_A20-A28,3,
A28.0,Pasteurellosis,A28,4,
A28.1,Cat-scratch disease,A28,4,Cat-scratch fever
A28.2,Extraintestinal yersiniosis,A28,4,
A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified",A28,4,
A28.9,"Zoonotic bacterial disease, unspecified",A28,4,
SECTION_A30-A49,Other bacterial diseases (A30-A49),CHAPTER_1,2,
A30,Leprosy [Hansen's disease],SECTION_A30-A49,3,
A30.0,Indeterminate leprosy,A30,4,I leprosy
A30.1,Tuberculoid leprosy,A30,4,TT leprosy
A30.2,Borderline tuberculoid leprosy,A30,4,BT leprosy
A30.3,Borderline leprosy,A30,4,BB leprosy
A30.4,Borderline lepromatous leprosy,A30,4,BL leprosy
A30.5,Lepromatous leprosy,A30,4,LL leprosy
A30.8,Other forms of leprosy,A30,4,
A30.9,"Leprosy, unspecified",A30,4,
A31,Infection due to other mycobacteria,SECTION_A30-A49,3,
A31.0,Pulmonary mycobacterial infection,A31,4,Infection due to Mycobacterium avium|Infection due to Mycobacterium intracellulare [Battey bacillus]|Infection due to Mycobacterium kansasii
A31.1,Cutaneous mycobacterial infection,A31,4,Buruli ulcer|Infection due to Mycobacterium marinum|Infection due to Mycobacterium ulcerans
A31.2,Disseminated mycobacterium avium-intracellulare complex (DMAC),A31,4,MAC sepsis
A31.8,Other mycobacterial infections,A31,4,
A31.9,"Mycobacterial infection, unspecified",A31,4,Atypical mycobacterial infection NOS|Mycobacteriosis NOS
A32,Listeriosis,SECTION_A30-A49,3,
A32.0,Cutaneous listeriosis,A32,4,
A32.1,Listerial meningitis and meningoencephalitis,A32,4,
A32.11,Listerial meningitis,A32.1,5,
A32.12,Listerial meningoencephalitis,A32.1,5,
A32.7,Listerial sepsis,A32,4,
A32.8,Other forms of listeriosis,A32,4,
A32.81,Oculoglandular listeriosis,A32.8,5,
A32.82,Listerial endocarditis,A32.8,5,
A32.89,Other forms of listeriosis,A32.8,5,Listerial cerebral arteritis
A32.9,"Listeriosis, unspecified",A32,4,
A33,Tetanus neonatorum,SECTION_A30-A49,3,
A34,Obstetrical tetanus,SECTION_A30-A49,3,
A35,Other tetanus,SECTION_A30-A49,3,Tetanus NOS
A36,Diphtheria,SECTION_A30-A49,3,
A36.0,Pharyngeal diphtheria,A36,4,Diphtheritic membranous angina|Tonsillar diphtheria
A36.1,Nasopharyngeal diphtheria,A36,4,
A36.2,Laryngeal diphtheria,A36,4,Diphtheritic laryngotracheitis
A36.3,Cutaneous diphtheria,A36,4,
A36.8,Other diphtheria,A36,4,
A36.81,Diphtheritic cardiomyopathy,A36.8,5,Diphtheritic myocarditis
A36.82,Diphtheritic radiculomyelitis,A36.8,5,
A36.83,Diphtheritic polyneuritis,A36.8,5,
A36.84,Diphtheritic tubulo-interstitial nephropathy,A36.8,5,
A36.85,Diphtheritic cystitis,A36.8,5,
A36.86,Diphtheritic conjunctivitis,A36.8,5,
A36.89,Other diphtheritic complications,A36.8,5,Diphtheritic peritonitis
A36.9,"Diphtheria, unspecified",A36,4,
A37,Whooping cough,SECTION_A30-A49,3,
A37.0,Whooping cough due to Bordetella pertussis,A37,4,
A37.00,Whooping cough due to Bordetella pertussis without pneumonia,A37.0,5,Paroxysmal cough due to Bordetella pertussis without pneumonia
A37.01,Whooping cough due to Bordetella pertussis with pneumonia,A37.0,5,Paroxysmal cough due to Bordetella pertussis with pneumonia
A37.1,Whooping cough due to Bordetella parapertussis,A37,4,
A37.10,Whooping cough due to Bordetella parapertussis without pneumonia,A37.1,5,
A37.11,Whooping cough due to Bordetella parapertussis with pneumonia,A37.1,5,
A37.8,Whooping cough due to other Bordetella species,A37,4,
A37.80,Whooping cough due to other Bordetella species without pneumonia,A37.8,5,
A37.81,Whooping cough due to other Bordetella species with pneumonia,A37.8,5,
A37.9,"Whooping cough, unspecified species",A37,4,
A37.90,"Whooping cough, unspecified species without pneumonia",A37.9,5,
A37.91,"Whooping cough, unspecified species with pneumonia",A37.9,5,
A38,Scarlet fever,SECTION_A30-A49,3,
A38.0,Scarlet fever with otitis media,A38,4,
A38.1,Scarlet fever with myocarditis,A38,4,
A38.8,Scarlet fever with other complications,A38,4,
A38.9,"Scarlet fever, uncomplicated",A38,4,"Scarlet fever, NOS"
A39,Meningococcal infection,SECTION_A30-A49,3,
A39.0,Meningococcal meningitis,A39,4,
A39.1,Waterhouse-Friderichsen syndrome,A39,4,Meningococcal hemorrhagic adrenalitis|Meningococcic adrenal syndrome
A39.2,Acute meningococcemia,A39,4,
A39.3,Chronic meningococcemia,A39,4,
A39.4,"Meningococcemia, unspecified",A39,4,
A39.5,Meningococcal heart disease,A39,4,
A39.50,"Meningococcal carditis, unspecified",A39.5,5,
A39.51,Meningococcal endocarditis,A39.5,5,
A39.52,Meningococcal myocarditis,A39.5,5,
A39.53,Meningococcal pericarditis,A39.5,5,
A39.8,Other meningococcal infections,A39,4,
A39.81,Meningococcal encephalitis,A39.8,5,
A39.82,Meningococcal retrobulbar neuritis,A39.8,5,
A39.83,Meningococcal arthritis,A39.8,5,
A39.84,Postmeningococcal arthritis,A39.8,5,
A39.89,Other meningococcal infections,A39.8,5,Meningococcal conjunctivitis
A39.9,"Meningococcal infection, unspecified",A39,4,Meningococcal disease NOS
A40,Streptococcal sepsis,SECTION_A30-A49,3,
A40.0,"Sepsis due to streptococcus, group A",A40,4,
A40.1,"Sepsis due to streptococcus, group B",A40,4,
A40.3,Sepsis due to Streptococcus pneumoniae,A40,4,Pneumococcal sepsis
A40.8,Other streptococcal sepsis,A40,4,
A40.9,"Streptococcal sepsis, unspecified",A40,4,
A41,Other sepsis,SECTION_A30-A49,3,
A41.0,Sepsis due to Staphylococcus aureus,A41,4,
A41.01,Sepsis due to Methicillin susceptible Staphylococcus aureus,A41.0,5,MSSA sepsis|Staphylococcus aureus sepsis NOS
A41.02,Sepsis due to Methicillin resistant Staphylococcus aureus,A41.0,5,
A41.1,Sepsis due to other specified staphylococcus,A41,4,Coagulase negative staphylococcus sepsis
A41.2,Sepsis due to unspecified staphylococcus,A41,4,
A41.3,Sepsis due to Hemophilus influenzae,A41,4,
A41.4,Sepsis due to anaerobes,A41,4,
A41.5,Sepsis due to other Gram-negative organisms,A41,4,
A41.50,"Gram-negative sepsis, unspecified",A41.5,5,Gram-negative sepsis NOS
A41.51,Sepsis due to Escherichia coli [E. coli],A41.5,5,
A41.52,Sepsis due to Pseudomonas,A41.5,5,Pseudomonas aeruginosa
A41.53,Sepsis due to Serratia,A41.5,5,
A41.54,Sepsis due to Acinetobacter baumannii,A41.5,5,
A41.59,Other Gram-negative sepsis,A41.5,5,
A41.8,Other specified sepsis,A41,4,
A41.81,Sepsis due to Enterococcus,A41.8,5,
A41.89,Other specified sepsis,A41.8,5,
A41.9,"Sepsis, unspecified organism",A41,4,Septicemia NOS
A42,Actinomycosis,SECTION_A30-A49,3,
A42.0,Pulmonary actinomycosis,A42,4,
A42.1,Abdominal actinomycosis,A42,4,
A42.2,Cervicofacial actinomycosis,A42,4,
A42.7,Actinomycotic sepsis,A42,4,
A42.8,Other forms of actinomycosis,A42,4,
A42.81,Actinomycotic meningitis,A42.8,5,
A42.82,Actinomycotic encephalitis,A42.8,5,
A42.89,Other forms of actinomycosis,A42.8,5,
A42.9,"Actinomycosis, unspecified",A42,4,
A43,Nocardiosis,SECTION_A30-A49,3,
A43.0,Pulmonary nocardiosis,A43,4,
A43.1,Cutaneous nocardiosis,A43,4,
A43.8,Other forms of nocardiosis,A43,4,
A43.9,"Nocardiosis, unspecified",A43,4,
A44,Bartonellosis,SECTION_A30-A49,3,
A44.0,Systemic bartonellosis,A44,4,Oroya fever
A44.1,Cutaneous and mucocutaneous bartonellosis,A44,4,Verruga peruana
A44.8,Other forms of bartonellosis,A44,4,
A44.9,"Bartonellosis, unspecified",A44,4,
A46,Erysipelas,SECTION_A30-A49,3,
A48,"Other bacterial diseases, not elsewhere classified",SECTION_A30-A49,3,
A48.0,Gas gangrene,A48,4,Clostridial cellulitis|Clostridial myonecrosis
A48.1,Legionnaires' disease,A48,4,
A48.2,Nonpneumonic Legionnaires' disease [Pontiac fever],A48,4,
A48.3,Toxic shock syndrome,A48,4,
A48.4,Brazilian purpuric fever,A48,4,Systemic Hemophilus aegyptius infection
A48.5,Other specified botulism,A48,4,Non-foodborne intoxication due to toxins of Clostridium botulinum [C. botulinum]
A48.51,Infant botulism,A48.5,5,
A48.52,Wound botulism,A48.5,5,Non-foodborne botulism NOS
A48.8,Other specified bacterial diseases,A48,4,
A49,Bacterial infection of unspecified site,SECTION_A30-A49,3,
A49.0,"Staphylococcal infection, unspecified site",A49,4,
A49.01,"Methicillin susceptible Staphylococcus aureus infection, unspecified site",A49.0,5,Methicillin susceptible Staphylococcus aureus (MSSA) infection|Staphylococcus aureus infection NOS
A49.02,"Methicillin resistant Staphylococcus aureus infection, unspecified site",A49.0,5,Methicillin resistant Staphylococcus aureus (MRSA) infection
A49.1,"Streptococcal infection, unspecified site",A49,4,
A49.2,"Hemophilus influenzae infection, unspecified site",A49,4,
A49.3,"Mycoplasma infection, unspecified site",A49,4,
A49.8,Other bacterial infections of unspecified site,A49,4,
A49.9,"Bacterial infection, unspecified",A49,4,
SECTION_A50-A64,Infections with a predominantly sexual mode of transmission (A50-A64),CHAPTER_1,2,
A50,Congenital syphilis,SECTION_A50-A64,3,
A50.0,"Early congenital syphilis, symptomatic",A50,4,Any congenital syphilitic condition specified as early or manifest less than two years after birth.
A50.01,Early congenital syphilitic oculopathy,A50.0,5,
A50.02,Early congenital syphilitic osteochondropathy,A50.0,5,
A50.03,Early congenital syphilitic pharyngitis,A50.0,5,Early congenital syphilitic laryngitis
A50.04,Early congenital syphilitic pneumonia,A50.0,5,
A50.05,Early congenital syphilitic rhinitis,A50.0,5,
A50.06,Early cutaneous congenital syphilis,A50.0,5,
A50.07,Early mucocutaneous congenital syphilis,A50.0,5,
A50.08,Early visceral congenital syphilis,A50.0,5,
A50.09,"Other early congenital syphilis, symptomatic",A50.0,5,
A50.1,"Early congenital syphilis, latent",A50,4,"Congenital syphilis without clinical manifestations, with positive serological reaction and negative spinal fluid test, less than two years after birth."
A50.2,"Early congenital syphilis, unspecified",A50,4,Congenital syphilis NOS less than two years after birth.
A50.3,Late congenital syphilitic oculopathy,A50,4,
A50.30,"Late congenital syphilitic oculopathy, unspecified",A50.3,5,
A50.31,Late congenital syphilitic interstitial keratitis,A50.3,5,
A50.32,Late congenital syphilitic chorioretinitis,A50.3,5,
A50.39,Other late congenital syphilitic oculopathy,A50.3,5,
A50.4,Late congenital neurosyphilis [juvenile neurosyphilis],A50,4,
A50.40,"Late congenital neurosyphilis, unspecified",A50.4,5,Juvenile neurosyphilis NOS
A50.41,Late congenital syphilitic meningitis,A50.4,5,
A50.42,Late congenital syphilitic encephalitis,A50.4,5,
A50.43,Late congenital syphilitic polyneuropathy,A50.4,5,
A50.44,Late congenital syphilitic optic nerve atrophy,A50.4,5,
A50.45,Juvenile general paresis,A50.4,5,Dementia paralytica juvenilis|Juvenile taboparetic neurosyphilis
A50.49,Other late congenital neurosyphilis,A50.4,5,Juvenile tabes dorsalis
A50.5,"Other late congenital syphilis, symptomatic",A50,4,Any congenital syphilitic condition specified as late or manifest two years or more after birth.
A50.51,Clutton's joints,A50.5,5,
A50.52,Hutchinson's teeth,A50.5,5,
A50.53,Hutchinson's triad,A50.5,5,
A50.54,Late congenital cardiovascular syphilis,A50.5,5,
A50.55,Late congenital syphilitic arthropathy,A50.5,5,
A50.56,Late congenital syphilitic osteochondropathy,A50.5,5,
A50.57,Syphilitic saddle nose,A50.5,5,
A50.59,"Other late congenital syphilis, symptomatic",A50.5,5,
A50.6,"Late congenital syphilis, latent",A50,4,"Congenital syphilis without clinical manifestations, with positive serological reaction and negative spinal fluid test, two years or more after birth."
A50.7,"Late congenital syphilis, unspecified",A50,4,Congenital syphilis NOS two years or more after birth.
A50.9,"Congenital syphilis, unspecified",A50,4,
A51,Early syphilis,SECTION_A50-A64,3,
A51.0,Primary genital syphilis,A51,4,Syphilitic chancre NOS
A51.1,Primary anal syphilis,A51,4,
A51.2,Primary syphilis of other sites,A51,4,
A51.3,Secondary syphilis of skin and mucous membranes,A51,4,
A51.31,Condyloma latum,A51.3,5,
A51.32,Syphilitic alopecia,A51.3,5,
A51.39,Other secondary syphilis of skin,A51.3,5,Syphilitic leukoderma|Syphilitic mucous patch
A51.4,Other secondary syphilis,A51,4,
A51.41,Secondary syphilitic meningitis,A51.4,5,
A51.42,Secondary syphilitic female pelvic disease,A51.4,5,
A51.43,Secondary syphilitic oculopathy,A51.4,5,"Secondary syphilitic chorioretinitis|Secondary syphilitic iridocyclitis, iritis|Secondary syphilitic uveitis"
A51.44,Secondary syphilitic nephritis,A51.4,5,
A51.45,Secondary syphilitic hepatitis,A51.4,5,
A51.46,Secondary syphilitic osteopathy,A51.4,5,
A51.49,Other secondary syphilitic conditions,A51.4,5,Secondary syphilitic lymphadenopathy|Secondary syphilitic myositis
