code,name,parent_code,level,aliases
T43.221,"Poisoning by selective serotonin reuptake inhibitors, accidental (unintentional)",T43.22,6,
T43.222,"Poisoning by selective serotonin reuptake inhibitors, intentional self-harm",T43.22,6,
T43.223,"Poisoning by selective serotonin reuptake inhibitors, assault",T43.22,6,
T43.224,"Poisoning by selective serotonin reuptake inhibitors, undetermined",T43.22,6,
T43.225,Adverse effect of selective serotonin reuptake inhibitors,T43.22,6,
T43.226,Underdosing of selective serotonin reuptake inhibitors,T43.22,6,
T43.29,"Poisoning by, adverse effect of and underdosing of other antidepressants",T43.2,5,
T43.291,"Poisoning by other antidepressants, accidental (unintentional)",T43.29,6,Poisoning by other antidepressants NOS
T43.292,"Poisoning by other antidepressants, intentional self-harm",T43.29,6,
T43.293,"Poisoning by other antidepressants, assault",T43.29,6,
T43.294,"Poisoning by other antidepressants, undetermined",T43.29,6,
T43.295,Adverse effect of other antidepressants,T43.29,6,
T43.296,Underdosing of other antidepressants,T43.29,6,
T43.3,"Poisoning by, adverse effect of and underdosing of phenothiazine antipsychotics and neuroleptics",T43,4,
T43.3X,"Poisoning by, adverse effect of and underdosing of phenothiazine antipsychotics and neuroleptics",T43.3,5,
T43.3X1,"Poisoning by phenothiazine antipsychotics and neuroleptics, accidental (unintentional)",T43.3X,6,Poisoning by phenothiazine antipsychotics and neuroleptics NOS
T43.3X2,"Poisoning by phenothiazine antipsychotics and neuroleptics, intentional self-harm",T43.3X,6,
T43.3X3,"Poisoning by phenothiazine antipsychotics and neuroleptics, assault",T43.3X,6,
T43.3X4,"Poisoning by phenothiazine antipsychotics and neuroleptics, undetermined",T43.3X,6,
T43.3X5,Adverse effect of phenothiazine antipsychotics and neuroleptics,T43.3X,6,
T43.3X6,Underdosing of phenothiazine antipsychotics and neuroleptics,T43.3X,6,
T43.4,"Poisoning by, adverse effect of and underdosing of butyrophenone and thiothixene neuroleptics",T43,4,
T43.4X,"Poisoning by, adverse effect of and underdosing of butyrophenone and thiothixene neuroleptics",T43.4,5,
T43.4X1,"Poisoning by butyrophenone and thiothixene neuroleptics, accidental (unintentional)",T43.4X,6,Poisoning by butyrophenone and thiothixene neuroleptics NOS
T43.4X2,"Poisoning by butyrophenone and thiothixene neuroleptics, intentional self-harm",T43.4X,6,
T43.4X3,"Poisoning by butyrophenone and thiothixene neuroleptics, assault",T43.4X,6,
T43.4X4,"Poisoning by butyrophenone and thiothixene neuroleptics, undetermined",T43.4X,6,
T43.4X5,Adverse effect of butyrophenone and thiothixene neuroleptics,T43.4X,6,
